0,1,2,3,4,5
Что из названного характеризует реформы Столыпина,ограничение помещичьего землевладения,разработка проекта укрепления общинного землепользования,отмена сословий,разрушение общины,4
Архитектор внесший огромный вклад в развитие русского московского модерна,Коненков,Шехтель,Жолтовский,Воронихин,2
Художник автор картины Заседание Государственного совета,Бенуа,Рерих,Коровин,Репин,4
В состав Совнаркома с ноября 1917 г по март 1918 г входили представители партий,большевиков и меньшевиков интернационалистов,большевиков и левых эсеров,большевиков и правых эсеров,большевиков и кадетов,2
Высший орган власти в России в марте октябре 1917 г,Временное правительство,Петроградский совет,съезд Советов,Учредительное собрание,1
Что из названного характеризует политику военного коммунизма,введение демократических свобод для всех категорий населения,введение натурального обмена при отмене свободной торговли,денационализация крупных предприятий,разрешение деятельности частных банков,2
Определите одну из причин обусловивших победу большевиков в Гражданской войне,политика военного коммунизма,введение всеобщих демократических прав и свобод,поддержка крестьянством советской власти,пропаганда идей справедливого государства для трудового народа,1
За создание однородного социалистического правительства летом 1917 г Выступал,Гучков,Милюков,Ленин,Мартов,4
Какое из названных событий произошло в конце мая 1918 г,мятеж левых эсеров в Москве,мятеж Чехословацкого корпуса,мятеж юнкеров в Москве,восстание на броненосце Князь Потемкин Таврический,2
Первая Конная армия была создана для борьбы,с войсками Колчака,с войсками Деникина,с войсками Юденича,с войсками Врангеля,2
Кто из названных деятелей революции назвал разгон Учредительного собрания открытым явным грубым,Троцкий,Свердлов,Спиридонова,Чернов,4
Отметьте одно из положений деникинского проекта земельной реформы,частная собственность на землю,введение продовольственной диктатуры,введение института временнообязанных крестьян,передача земли общине,1
Отметьте самый популярный лозунг в российском обществе осенью 1917 г,Вся власть Учредительному собранию,Вся власть Советам,Землю крестьянам,Долой министров капиталистов,1
Военное вмешательство иностранных государств во внутренние дела другого государства называется,экспроприацией,интервенцией,эскалацией,аннексией,2
Комуч был создан из,бывших членов Учредительного собрания,офицеров чехословацкого корпуса,сторонников адмирала Колчака,бывших членов Временного правительства,1
Одной из причин Гражданской войны в России было недовольство части населения,свержением монархической власти,политикой диктатуры пролетариата,начавшейся интервенцией,Декретом о земле,2
Кто из названных военачальников был командармом Первой Конной армии,Ворошилов,Буденный,Фрунзе,Тухачевский,2
Высший орган государственной власти после Октября 1917 г,Учредительное собрание,Верховный Совет,Совет Народных Комиссаров,Всероссийский съезд Советов рабочих и солдатских депутатов,4
Что из названного является одной из причин Гражданской войны,недовольство диктатурой пролетариата,принятие первой Конституции,вмешательство иностранных государств,исключение меньшевиков и правых эсеров из состава ВЦИК,1
Кто из перечисленных участников Гражданской войны возглавлял анархо крестьянское движение на Украине,Чапаев,Котовский,Махно,Щорс,3
По закону о социализации земля была передана,крестьянской общине,в собственность государства,в частную собственность крестьян,в собственность земств,2
Продразверстка это,монополия государства на производство и продажу хлеба,норма сдачи хлеба государству,всеобщая трудовая повинность,дневная норма рабочего,2
Кто из названных руководителей белого движения встал во главе Добровольческой армии созданной на Дону в конце 1917г,Врангель,Каледин,Колчак,Корнилов,4
Что из названного является целью создания комитетов бедноты в 1918 г,контроль пролетариата за производством на мелких и средних промышленных предприятиях,помощь продовольственным отрядам реквизировать хлеб у крестьян,создание системы образования на селе,помощь местным органам советской власти в проведении мобилизации в Красную армию,2
Что из названного является одной из причин революционных событий в феврале 1917 г,деятельность Государственной думы,дестабилизирующее влияние войны на экономическое и политическое развитие страны,принятие Николаем II командования войсками,активная деятельность земств против самодержавия,2
Какое событие произошло раньше других,расстрел демонстрации в Петрограде,создание Временного правительства,созыв I съезда Советов рабочих и солдатских депутатов,Корниловский мятеж,2
Что из названного было характерно для национальной политики Временного правительства,восстановление автономии Финляндии,провозглашение автономного правления в Польше,признание права национальных окраин на самоопределение вплоть до отделения от Российского государства,разрешение национальным окраинам разрабатывать свои конституции,1
Какое из названных событий произошло 14 сентября 1917 г,Корнилов предпринял наступление на Петроград,открылся I съезд Советов рабочих и солдатских депутатов,начались сепаратные переговоры с Германией,приступило к работе Демократическое совещание в Петрограде,4
Для борьбы с контрреволюцией и саботажем советская власть создала,ГОЭЛР,комбеды,ВСНХ,ВЧК,4
Какое из названных событий произошло в июле 1918 г,наступление Добровольческой армии на Москву,принятие Декрета о земле,покушение на Ленина,принятие Конституции РСФСР,4
Насильственное присоединение территории другого государства это,аннексия,контрибуция,репарация,репатриация,1
Укажите одну из причин поражения Белого движения в Гражданской войне,слабое финансовое обеспечение войск,низкий профессиональный уровень солдат и офицеров,требование восстановить единую и неделимую территорию Российской империи,политика военного коммунизма,3
Омский диктатор расстрелянный красными в 1920 г,Дутов,Врангель,Колчак,Деникин,3
Декрет о мире содержал следующее положение,возвращение к довоенным границам воюющих государств,денежная компенсация Германии за согласие заключить мир,необходимость усиления позиций Антанты и принуждение Германии подписать мир,заключение мира любой ценой,1
II Всероссийский съезд Советов принял,Декларацию прав трудящегося и эксплуатируемого народа,Декрет об уничтожении сословий и гражданских чинов,Декрет о земле,Конституцию РСФСР,3
Командующий корпусом пытавшийся оказать поддержку Керенскому в походе на Петроград в октябре 1917 г,Краснов,Деникин,Корнилов,Врангель,1
Партия или общественная группа выступающая против мнения большинства или господствующей точки зрения выдвигающая иное решение существующих проблем называется,олигархической,коалиционной,сепаратистской,оппозиционной,4
В мае июне 1919 г началось крупномасштабное наступление войск под командованием,Деникина,Юденича,Колчака,Врангеля,1
Что из названного послужило поводом к официальному объявлению красного террора,сопротивление крестьян продовольственным отрядам,убийство немецкого посла Мирбаха,покушение на жизнь Ленина,начало интервенции,3
Что из названного является одной из причин иностранной военной интервенции,национализация помещичьей земли,отказ советского правительства от выплаты царских долгов,установление продовольственной диктатуры,стремление поддержать Чехословацкий корпус,2
Председателем Петроградского Совета в сентябре 1917 г был избран,Сталин,Троцкий,Бухарин,Ленин,2
Что из названного является одним из последствий выступления генерала Корнилова в августе 1917 г,переход власти в руки Петроградского Совета,создание Директории Совета пяти,проведение выборов в Учредительное собрание,введение 8 часового рабочего дня на предприятиях,2
Договор по которому иностранные фирмы получали возможность заниматься производственной деятельностью на территории России,кооперация,коалиция,конвенция,концессия,4
Военно морская база моряки которой восстали в 1921 г,Свеаборг,Севастополь,Кронштадт,Владивосток,3
Что из названного характеризует новую экономическую политику,продразверстка,продналог,введение рабочего контроля,всеобщая трудовая повинность,2
План автономизации как основу объединения советских республик выдвинул,Сталин,Ленин,Дзержинский,Троцкий,1
Что из названного является причиной внутрипартийной борьбы в 20 е гг XX в,идейные расхождения среди лидеров партии по вопросу о путях строительства социализма в СССР,увеличение количества противников построения социализма среди высшего руководства,стремление ряда руководителей создать правительственную коалицию из нескольких социалистических партий,разногласия среди руководителей по вопросу необходимости подготовки мировой революции,1
По делу военных в 1937 г были расстреляны,Якир и Блюхер,Зиновьев и Каменев,Бухарин и Рыков,Ежов и Ягода,1
Что из названного является одной из причин сворачивания новой экономической политики,нэп не давал экономического эффекта,нэп привел к финансовому кризису,рыночная основа нэпа противоречила диктаторской сущности власти большевиков,основной целью нэпа было восстановление капитализма,3
Автор скульптуры Рабочий и колхозница,Мухина,Коненков,Манизер,Дейнека,1
Установленный государством обязательный платеж взимаемый с крестьянских хозяйств в годы нэпа,продразверстка,продналог,экспроприация,оброк,2
Отметьте о ком идет речь Он родился в семье зажиточного землевладельца арендатора В 1888 г сблизился с членами социал демократического Южнорусского рабочего союза В 1898 г был арестован и более двух лет пробыл в тюрьме В 1902 г бежал за границу В Лондоне познакомился с Лениным оценившим его как очень энергичного и способного товарища В 1917 г избран председателем Петроградского Совета В Письме к съезду Ленин назвал его самым способным человеком в настоящем ЦК В 1927 г был исключен из партии сослан в Алма Ату в 1929 г выслан из СССР в 1932 г лишен советского гражданства,Троцкий,Каменев,Зиновьев,Свердлов,1
В ходе первых пятилеток большое внимание уделялось подъему,сельского хозяйства,легкой промышленности,тяжелой промышленности,сферы обслуживания,3
Что из названного является следствием политических репрессий в СССР,построение социализма в СССР,укрепление международного авторитета СССР,снижение боеспособности Красной Армии,увеличение количества врагов народа,3
В результате внутрипартийной борьбы в 20 е гг укрепились позиции,Троцкого,Сталина,Калинина,Берии,2
Движение ударников пытающихся увеличить производительность труда получило название по имени,Стаханова,Ангелиной,Бусыгина,Мазая,1
Роман посвященный жизни казачества на историческом переломе в годы революции и Гражданской войны,Жизнь Клима Самгина,Тихий Дон,Враги,Разгром,2
Первый звуковой фильм вышедший на экраны страны в 1931 г,Чапаев,Путевка в жизнь,Цирк,Александр Невский,2
Процесс ликвидации зажиточных крестьянских хозяйств в годы коллективизации сельского хозяйства,монополизация,секуляризация,раскулачивание,осереднячивание,3
Отметьте черту новой экономической политики,национализация крупной и средней промышленности,разрешение концессий с привлечением иностранного капитала,введение натуроплаты за труд,всеобщая трудовая повинность,2
Мюнхенское соглашение 1938 г способствовавшее развязыванию Второй мировой войны было подписано,Великобританией,Польшей,Чехословакией,Испанией,1
Отметьте о ком идет речь Он родился в 1870 г в городе Гори Тифлисской губернии в семье сапожника В 1894 г после духовного училища принят в Тифлисскую духовную семинарию но не окончил ее С 1903 г стал большевиком Участвовал в создании газеты Правда В 1913 г написал статью Марксизм и национальный вопрос принесшую ему авторитет знатока национального вопроса Принимал активное участие в подготовке и проведении Октябрьского вооруженного восстания а после его победы был избран членом ВЦИК и вошел в первое советское правительство в качестве наркома по делам национальностей В годы Гражданской войны находился на военно политической работе В 1922 г был избран генеральным секретарем ЦК ВКП б Укрепив свое положение расправился с внутрипартийной оппозицией,Рыков,Орджоникидзе,Сталин,Берия,3
Что из названного является одной из причин объединения советских республик в единое государство СССР,экономическая взаимозависимость республик,необходимость установления религиозного союза,стремление усилить влияние русских среди народов проживающих на территории бывшей Российской империи,попытка объединить усилия для подготовки мировой революции,1
Что из названного является одной из причин заключения пакта Молотова Риббентропа в 1939 г,стремление СССР создать систему коллективной безопасности в Европе,необходимость пресечь агрессию Германии в Европе,желание обезопасить страну от вторжения немецко фашистских войск на ближайшее время,стремление СССР укрепить свой авторитет на международной арене,3
Реформатор поэтического языка оказавший огромное влияние на поэзию XX в,Есенин,Мандельштам,Маяковский,Блок,3
Режиссер фильма Броненосец Потемкин,Эйзеншейн,Довженко,Пырьев,Александров,1
Форма производственного объединения появившаяся в России в начале XX в а затем и в годы новой экономической политики,трест,концерн,картель,мануфактура,1
Рапалльские соглашения положившие начало прорыву внешнеполитической изоляции РСФСР на международной арене были подписаны в 1922 г,с Великобританией,с США,с Германией,с Францией,3
Высший орган государственной власти СССР в соответствии с Конституцией 1924 г,Всесоюзный съезд Советов,Центральный исполнительный комитет Советов,Совет народных комиссаров,Верховный Суд,1
В результате индустриализации СССР превратился,из страны ввозящей машины в страну их производящую,из страны закупающей хлеб в экспортирующую его,в страну победившего коммунизма,в государство занимающее одно из ведущих мест по производству промышленной продукции на душу населения,1
Против перекачки средств из деревни в город для проведения индустриализации выступил,Троцкий,Сталин,Бухарин,Калинин,3
Деятельность Коминтерна привела,к созданию системы коллективной безопасности в Европе,к обострению отношений с рядом капиталистических государств,к выходу РСФСР из дипломатической изоляции,к сближению с фашистской Германией,2
Нобелевской премии в области литературы в 1933 г был удостоен,Набоков,Ходасевич,Бунин,Куприн,3
Формирование советской интеллигенции придерживающейся социалистической идеологии это составная часть проводимой в СССР,культурной революции,монополизации,модернизации,коллективизации,1
Создание крупного машинного производства во всех отраслях народного хозяйства и прежде всего в промышленности называется,индустриализацией,кооперацией,культурной революцией,коллективизацией,1
Что из названного не является характерной чертой нэпа,создание акционерных обществ,привлечение иностранного капитала в форме концессий,введение трудовой повинности,введение продналога,3
В 1922 г из РСФСР была выслана группа интеллигенции в том числе,Бунин Рахманинов Ильин,Вавилов Иоффе Шаляпин,Платонов Цветаева Булгаков,Франк Лосский Бердяев,4
Что из названного является одним из итогов коллективизации,повышение производительности труда в колхозах,разорение крестьянских хозяйств и голод,введение частной собственности на землю,возрождение общинной системы,2
Отметьте о ком идет речь В 1918 г в качестве главы советской делегации подписал Брестский мир Занимал высокие посты в советском руководстве был членом Совета Госбанка членом коллегии Наркомата финансов членом Президиума ВСНХ наркомом финансов заместителем председателя Госплана ССС В годы Гражданской войны командовал 8 й армией В 1923 г активно претворял в жизнь денежную реформу В 1929 г был полномочным представителем СССР в Великобритании В 1936 г репрессирован реабилитирован в 1988 г,Сокольников,Рыков,Крестинский,Преображенский,1
Отметьте одну из причин образования ССС,необходимость объединения социалистических республик перед угрозой внешнего врага,необходимость восстановления Российского государства в границах империи,заинтересованность иностранных государств в экономическом сотрудничестве с крупным государственным объединением,стремление национальных окраин к восстановлению единого и неделимого государства,1
Объединял и возглавлял мировое коммунистическое движение,Комуч,Коминтерн,Пролеткульт,ОСОВИАХИМ,2
Режиссер постановщик фильма Александр Невский,Эйзенштейн,Пудовкин,Вертов,Александров,1
По секретным протоколам к Пакту о ненападении с Германией 1939 г к сфере интересов СССР относилась,Турция,Литва,Финляндия,Греция,3
Приказ 227 Ни шагу назад был издан в связи с наступлением немецко фашистские войск под,Харьковом,Москвой,Сталинградом,Севастополем,3
Отметьте о ком идет речь Родился в Варшаве в рабочей семье Участвовал в Первой мировой войне после Октябрьской революции сражался в рядах Красной гвардии Отличился в боях за КВЖД в 1929 г В 1937 г был арестован но в 1940 г освобожден в связи с прекращением дела В годы войны принял участие в боевых действиях под Смоленском и Москвой в Сталинградском и Курском сражениях Восточно Прусской и Берлинской операциях Дважды удостоен звания Героя Советского Союза Командовал Парадом Победы 24 июня 1945 г,Рокоссовский,Жуков,Конев,Черняховский,1
Первый салют прогремел в Москве после успешного завершения,битвы на Курской дуге,Сталинградской битвы,сражения под Ельней,битвы под Москвой,1
Решение о создании Организации Объединенных Наций ООН было принято на конференции,Тегеранской,Ялтинской,Потсдамской,Вашингтонской,2
СССР вступил в войну с Японией в 1945 г,2 мая,9 мая,8 августа,2 сентября,3
Коллаборационизм термин обозначающий,сопротивление врагу,партизанское движение,сотрудничество с врагом,командно административный метод руководства,3
Композитор один из авторов музыки к песне Священная война,Блантер,Александров,Дунаевский,Шостакович,2
Знаменитое танковое сражение в ходе Курской битвы послужившее началом контрнаступления советских войск произошло в районе деревни,Крюково,Прохоровка,Петрищево,Хатынь,2
Что из названного является одной из причин неудач Красной Армии в первые месяцы войны,многократное превосходство немецкой армии по численности войск и боевой технике,поддержка немецкого наступления населением западных недавно присоединенных к СССР районов,уменьшение бюджетных ассигнований на оборону,переоценка собственных сил и недооценка возможностей противника переоценка собственных сил и недооценка возможностей противника,4
